symbol,SJ_M9,SJ_M10,SJ_M7,SJ_M8
1700016H13Rik,3,0,2,1
1700016J18Rik,0,0,0,0
1700016K05Rik,0,0,0,0
1700016K19Rik,0,0,1,3
1700016L21Rik,0,0,0,0
1700016P03Rik,0,0,0,0
1700016P04Rik,0,0,0,0
1700017B05Rik,2831,2334,1484,917
1700017D01Rik,0,0,0,0
1700017G19Rik,0,0,0,1
1700017I07Rik,0,0,0,0
1700017J07Rik,0,0,0,0
1700017L05Rik,0,0,0,0
1700017M07Rik,3,0,1,1
1700017N19Rik,0,0,0,0
1700018A04Rik,0,5,0,0
1700018A14Rik,0,0,1,0
1700018A23Rik,0,0,6,1
1700018B08Rik,0,0,0,0
1700018B24Rik,0,0,0,0
1700018F24Rik,0,0,0,0
1700018G05Rik,0,0,0,0
1700018L02Rik,30,30,60,56
1700018M17Rik,0,0,0,0
1700018P08Rik,0,0,0,0
1700019A02Rik,0,0,0,1
1700019A23Rik,0,0,0,0
1700019C18Rik,0,0,0,0
1700019D03Rik,0,0,15,15
1700019E08Rik,0,0,0,0
1700019F05Rik,0,0,0,0
1700019G24Rik,0,0,0,0
1700019J19Rik,0,0,0,0
1700019L13Rik,9,6,13,22
1700019M22Rik,0,0,0,0
1700019N19Rik,1,2,2,0
1700019P21Rik,0,0,0,0
1700020A23Rik,0,0,1,0
1700020D05Rik,5,9,42,37
1700020D12Rik,0,0,0,0
1700020G03Rik,0,0,0,0
1700020G17Rik,0,0,0,0
1700020I14Rik,2431,1619,2624,2241
1700020L24Rik,18,27,21,57
1700020M21Rik,0,0,0,0
1700020N01Rik,0,0,0,0
1700020N15Rik,0,0,0,0
1700020N18Rik,0,0,0,0
1700021A07Rik,0,0,0,0
1700021F02Rik,0,0,0,0
1700021F05Rik,278,292,171,205
1700021F07Rik,0,0,0,0
1700021F13Rik,0,0,0,0
1700021G15Rik,0,0,0,0
1700021J08Rik,0,0,26,43
1700021L23Rik,0,0,0,0
1700021N21Rik,0,6,0,0
1700021P04Rik,0,0,0,0
1700022A21Rik,0,0,0,0
1700022A22Rik,0,0,0,0
1700022E09Rik,0,0,0,0
1700022H01Rik,0,0,0,0
1700022H16Rik,0,0,0,0
1700022I11Rik,1,2,2,4
1700022N22Rik,5,0,6,9
1700023C21Rik,0,0,0,0
1700023F02Rik,2,0,0,0
1700023F06Rik,1,0,0,5
1700023G09Rik,0,0,0,1
1700023H06Rik,5,5,5,9
1700024B05Rik,4,15,65,50
1700024B18Rik,0,0,0,0
1700024G13Rik,0,0,0,0
1700024I08Rik,0,0,0,0
1700024J04Rik,0,5,8,13
1700024P04Rik,0,0,0,0
1700025A08Rik,0,0,0,0
1700025B11Rik,0,0,0,0
1700025C18Rik,0,0,0,0
1700025D23Rik,0,0,0,0
1700025F22Rik,0,0,0,0
1700025F24Rik,0,0,0,0
1700025G04Rik,925,723,634,678
1700025H01Rik,0,0,9,6
1700025J12Rik,0,0,0,0
1700025K04Rik,0,0,0,0
1700025K24Rik,0,0,0,0
1700025L06Rik,0,0,0,0
1700025M24Rik,0,0,0,0
1700025N21Rik,0,10,0,0
1700025N23Rik,0,0,1,0
1700025O08Rik,0,0,0,0
1700026D11Rik,0,0,0,0
1700026F02Rik,0,0,0,0
1700026J12Rik,0,0,0,0
1700026J14Rik,0,0,1,0
1700026N04Rik,0,0,1,3
1700027A07Rik,2,0,0,3
1700027A15Rik,0,0,0,0
1700027F06Rik,0,0,0,0
1700027F09Rik,0,0,0,0
1700027H10Rik,0,0,0,0
1700027I24Rik,0,0,1,0
1700027J07Rik,0,0,0,0
1700028B04Rik,0,0,0,0
1700028D13Rik,0,0,0,0
1700028E10Rik,6,19,10,8
1700028I16Rik,0,2,4,0
1700028J19Rik,10,2,3,7
1700028K03Rik,0,15,3,3
1700028M03Rik,0,0,1,5
1700028N14Rik,0,0,0,0
1700028P14Rik,1,0,0,1
1700028P15Rik,0,0,0,0
1700029B22Rik,0,0,0,0
1700029B24Rik,0,0,0,0
1700029E06Rik,0,0,0,0
1700029F12Rik,0,0,0,0
1700029H14Rik,9,5,9,14
1700029I15Rik,8,16,59,87
1700029J03Rik,0,0,0,0
1700029J07Rik,12,24,31,34
1700029M03Rik,0,0,0,0
1700029M20Rik,0,0,0,1
1700029N11Rik,0,0,0,0
1700029P11Rik,1,2,1,2
1700030A11Rik,0,0,0,0
1700030C10Rik,5,0,3,0
1700030C12Rik,0,0,4,2
1700030C14Rik,0,0,0,0
1700030E10Rik,0,0,0,0
1700030F04Rik,0,0,0,0
1700030I03Rik,0,0,0,0
1700030J22Rik,36,14,28,24
1700030K09Rik,220,223,410,330
1700030L20Rik,0,0,0,0
1700030L22Rik,0,0,0,0
1700030M09Rik,0,0,0,0
1700030N03Rik,1,0,4,0
1700030N18Rik,0,0,0,0
1700030O20Rik,0,0,0,0
1700031A10Rik,0,0,0,0
1700031F05Rik,0,0,0,0
1700031F10Rik,0,0,0,0
1700031L13Rik,0,0,0,0
1700031M16Rik,0,0,0,0
1700031P21Rik,0,0,0,0
1700034B16Rik,0,0,0,0
1700034E13Rik,0,0,0,0
1700034G24Rik,0,0,0,0
1700034H15Rik,7,1,4,4
1700034I23Rik,1,5,3,6
1700034J04Rik,0,0,0,0
1700034J05Rik,3,3,0,0
1700034K08Rik,0,0,0,0
1700034P13Rik,15,2,13,9
1700036A12Rik,0,0,0,0
1700036G14Rik,0,0,0,0
1700036O09Rik,0,0,0,0
1700037C06Rik,0,2,0,0
1700037C18Rik,81,54,87,76
1700037F03Rik,0,0,0,0
1700037F24Rik,0,0,0,1
1700037H04Rik,866,749,684,494
1700039E22Rik,0,0,0,0
1700039I01Rik,0,0,0,0
1700039M10Rik,0,0,0,1
1700039M15Rik,0,0,0,0
1700040D17Rik,3,0,1,0
1700040E09Rik,0,0,0,0
1700040F15Rik,0,0,0,0
1700040F17Rik,0,0,0,0
1700040K01Rik,0,0,0,0
1700040L08Rik,0,0,0,0
1700041B01Rik,0,0,0,0
1700041C23Rik,0,0,0,0
1700041G16Rik,1,21,6,5
1700041I07Rik,0,0,0,0
1700041M05Rik,0,0,0,0
1700041M19Rik,0,0,0,0
1700042D02Rik,0,0,0,0
1700042G07Rik,0,0,0,0
1700042G15Rik,0,0,0,0
1700042O05Rik,0,0,0,0
1700042O10Rik,3,7,7,5
1700044C05Rik,0,0,0,0
1700044K03Rik,0,0,0,0
1700045H11Rik,0,0,0,0
1700045I11Rik,0,0,0,0
1700046C09Rik,0,0,0,0
1700047A11Rik,0,0,0,0
1700047E10Rik,0,0,0,0
1700047F07Rik,0,0,0,0
1700047G03Rik,0,0,0,0
1700047G07Rik,4,6,6,5
1700047I17Rik2,0,0,0,0
1700047K16Rik,2,0,5,6
1700047L14Rik,0,0,0,0
1700047M11Rik,0,4,0,3
1700047N06Rik,0,0,0,0
1700047O18Rik,0,0,0,0
1700048F04Rik,0,0,0,0
1700048M11Rik,0,0,1,0
1700048O20Rik,15,10,1,2
1700048P04Rik,0,0,0,0
1700049E15Rik,0,0,0,0
1700049E17Rik1,0,0,0,0
1700049E17Rik2,0,0,3,2
1700049E22Rik,0,0,0,0
1700049J03Rik,0,0,1,1
1700049L16Rik,0,0,0,0
1700051A21Rik,0,0,0,0
1700051K13Rik,0,0,0,1
1700051O22Rik,8,4,0,1
1700052H01Rik,0,0,0,0
1700052I22Rik,0,0,0,0
1700052K11Rik,132,189,303,195
1700054A03Rik,0,0,3,0
1700054K02Rik,0,0,0,0
1700054K19Rik,0,0,0,0
1700054M17Rik,0,0,0,0
1700054O05Rik,0,1,0,0
1700054O19Rik,6,21,10,7
1700055C04Rik,0,0,0,0
1700055D18Rik,16,0,14,27
1700056E22Rik,40,35,12,19
1700056N10Rik,1,13,12,9
1700057G04Rik,0,0,0,0
1700057H15Rik,0,0,0,0
1700057H21Rik,0,0,0,0
1700058P15Rik,14,2,32,22
1700060C16Rik,0,0,0,0
1700060C20Rik,0,0,0,0
1700060J05Rik,4,9,9,21
1700060O08Rik,0,0,0,0
1700061E17Rik,0,0,1,0
1700061E18Rik,0,0,0,0
1700061F12Rik,0,0,0,0
1700061G19Rik,7,19,4,6
1700061H18Rik,0,0,0,0
1700061I17Rik,0,0,0,0
1700061J23Rik,0,0,0,0
1700061N14Rik,0,0,0,0
1700062C10Rik,0,0,0,0
1700063A18Rik,0,0,0,0
1700063D05Rik,8,9,25,30
1700063H04Rik,0,0,0,0
1700063H06Rik,0,0,0,0
1700063I16Rik,0,0,0,0
1700063K16Rik,0,0,0,0
1700063O14Rik,0,0,0,0
1700064H15Rik,0,0,5,0
1700064J06Rik,0,0,0,0
1700064M15Rik,0,0,0,0
1700065D16Rik,20,1,3,3
1700065I16Rik,0,0,0,0
1700065J11Rik,0,0,0,0
1700065J18Rik,0,0,0,0
1700065L07Rik,0,0,0,0
1700065O20Rik,0,0,0,0
1700066B17Rik,0,0,0,0
1700066B19Rik,8,7,2,0
1700066C05Rik,0,0,0,0
1700066J03Rik,0,6,5,1
1700066M21Rik,198,192,334,365
1700066N21Rik,0,0,0,0
1700066O22Rik,0,0,1,1
1700067G17Rik,0,0,0,2
1700067K01Rik,7,0,27,26
1700067P10Rik,0,0,0,0
1700069B07Rik,9,2,11,5
1700069L16Rik,0,0,0,0
1700069P05Rik,0,0,0,0
1700071G01Rik,0,0,0,0
1700071K01Rik,1,1,1,0
1700071M16Rik,45,6,3,3
1700072B07Rik,0,0,0,0
1700072G22Rik,0,0,0,0
1700072O05Rik,0,0,0,0
1700073E17Rik,0,0,1,0
1700074A21Rik,0,0,0,0
1700074H08Rik,0,0,0,2
1700074P13Rik,0,0,0,0
1700080E11Rik,0,0,0,0
1700080G11Rik,0,0,1,2
1700080N15Rik,0,0,0,0
1700080O16Rik,0,0,0,0
1700081B01Rik,0,0,0,0
1700081H04Rik,0,0,0,0
1700081N11Rik,0,0,2,7
1700082M22Rik,2,1,3,2
1700083H02Rik,0,0,0,0
1700084C06Rik,0,0,0,1
1700084D21Rik,0,0,0,0
1700084E18Rik,7,0,19,21
1700084F23Rik,0,0,0,0
1700084J12Rik,0,0,3,0
1700084M14Rik,0,0,0,0
1700085C21Rik,0,0,0,0
1700085D07Rik,0,0,0,0
1700086D15Rik,0,0,0,0
1700086L19Rik,0,0,0,0
1700086O06Rik,37,54,113,115
1700086P04Rik,6,0,12,6
1700087M22Rik,0,0,0,0
1700088E04Rik,14,50,49,53
1700091H14Rik,4,2,11,7
1700092C02Rik,0,0,0,0
1700092C10Rik,0,0,0,0
1700092C17Rik,0,0,0,0
1700092E16Rik,0,0,0,0
1700092E19Rik,0,0,0,0
1700092K14Rik,0,0,0,0
1700092M07Rik,5,1,1,3
1700093K21Rik,0,6,0,2
1700094J05Rik,0,0,0,0
1700094M23Rik,0,0,0,0
1700094M24Rik,0,0,0,0
1700095A13Rik,0,0,0,0
1700095A21Rik,0,0,1,0
1700095B10Rik,0,0,0,0
1700095J03Rik,0,0,0,0
1700095J07Rik,0,0,0,2
1700095J12Rik,0,0,0,0
1700095K22Rik,0,0,0,0
1700096J18Rik,0,0,0,0
1700096K18Rik,43,9,30,33
1700097M23Rik,0,0,0,1
1700097N02Rik,0,0,0,1
1700099I09Rik,0,0,0,0
1700100I10Rik,0,0,1,0
1700100L14Rik,0,0,0,0
1700101I11Rik,2,18,4,9
1700101I19Rik,0,0,0,0
1700101O22Rik,0,0,0,0
1700102F20Rik,0,0,0,0
1700102P08Rik,7,0,9,14
1700104B16Rik,0,0,0,0
1700104L18Rik,0,0,0,0
1700105G05Rik,0,0,0,0
1700105P06Rik,7,0,11,7
1700108F19Rik,0,0,5,9
1700108J01Rik,0,0,0,0
1700108N06Rik,0,0,0,0
1700108N11Rik,0,0,0,0
1700109G14Rik,0,0,0,0
1700109G15Rik,0,0,0,0
1700109H08Rik,8,10,52,47
1700109I08Rik,0,0,0,0
1700109K24Rik,2,1,72,63
1700110C19Rik,0,0,0,0
1700110I01Rik,1,0,0,5
1700110I07Rik,0,0,0,0
1700110K17Rik,0,0,0,0
1700111E14Rik,0,0,0,0
1700111N16Rik,0,0,0,0
1700112D23Rik,4,4,8,6
1700112H15Rik,0,0,0,0
1700112J05Rik,0,0,0,0
1700112J16Rik,2,0,2,4
1700112K13Rik,0,0,0,0
1700112L15Rik,0,0,0,0
1700112M02Rik,0,0,0,0
1700113A16Rik,10,25,11,1
1700113B09Rik,0,0,0,0
1700113B19Rik,0,0,0,0
1700113H08Rik,0,0,0,0
1700116B05Rik,0,0,0,0
1700119H24Rik,0,0,0,1
1700119I11Rik,0,0,0,0
1700120B22Rik,0,0,4,0
1700120C14Rik,3,1,10,27
1700120C18Rik,0,0,0,0
1700120E14Rik,0,0,0,1
1700120G07Rik,0,0,1,0
1700120G11Rik,0,0,0,0
1700120K04Rik,0,0,0,0
1700120O09Rik,0,0,0,0
1700121C08Rik,0,0,1,0
1700121L03Rik,0,0,0,0
1700121L16Rik,0,0,0,0
1700121N20Rik,0,0,0,0
1700122D07Rik,0,0,0,0
1700122E12Rik,0,0,2,2
1700122H20Rik,0,0,0,0
1700122O11Rik,0,0,0,0
1700123J17Rik,0,0,0,0
1700123K08Rik,0,0,0,0
1700123L14Rik,0,0,0,0
1700123M08Rik,8,4,27,25
1700123O12Rik,0,0,0,0
1700123O20Rik,591,361,405,342
1700123O21Rik,0,0,0,0
1700124L16Rik,1,5,11,16
1700124M09Rik,0,0,0,0
1700125G02Rik,0,0,0,0
1700125G22Rik,0,0,3,0
1700125H03Rik,0,0,0,0
1700125H20Rik,1,0,1,2
1700126A01Rik,0,0,0,0
1700126G02Rik,0,0,8,9
1700126H18Rik,0,0,0,0
1700127F24Rik,0,0,0,0
1700128A07Rik,0,0,0,0
1700128E19Rik,0,0,0,0
1700128F08Rik,1,1,6,4
1700128I11Rik,0,0,0,0
1700129C05Rik,0,0,0,0
1700129L04Rik,0,0,0,0
1810006J02Rik,15,0,11,2
1810007C17Rik,0,0,0,0
1810007D17Rik,0,0,0,0
1810008B01Rik,0,0,0,0
1810008I18Rik,0,0,1,0
1810009A15Rik,513,344,220,177
1810009J06Rik,0,0,0,0
1810010D01Rik,0,1,2,12
1810010H24Rik,19,16,44,39
1810010K12Rik,4,0,6,5
1810012K08Rik,3,0,25,26
1810012K16Rik,0,0,1,3
1810013D15Rik,1,1,8,4
1810013L24Rik,1159,873,1413,1186
1810014B01Rik,108,252,98,57
1810017P11Rik,0,0,0,0
1810018F18Rik,0,0,0,0
1810019D21Rik,3,0,7,1
1810019N24Rik,6,0,8,6
1810020O05Rik,0,0,1,0
1810021B22Rik,9,13,11,19
1810022K09Rik,816,529,497,420
1810024B03Rik,31,12,61,48
1810026B05Rik,904,705,1158,1141
1810028F09Rik,0,0,0,0
1810030O07Rik,966,860,846,690
1810032O08Rik,192,351,999,955
1810034E14Rik,34,18,9,6
1810037I17Rik,1357,837,1052,749
1810041H14Rik,0,0,0,0
1810043G02Rik,347,278,301,293
1810044D09Rik,30,30,20,13
1810046K07Rik,2,0,0,0
1810049I09Rik,0,0,0,0
1810049J17Rik,94,45,36,37
1810053B23Rik,0,0,1,0
1810055G02Rik,491,467,1084,834
1810058I24Rik,2299,1820,1708,1650
1810059C17Rik,0,0,0,2
1810059H22Rik,5,7,9,17
1810062G17Rik,11,4,45,31
1810062O18Rik,5,2,12,14
1810063I02Rik,0,0,0,0
1810064F22Rik,1,0,7,6
1810065E05Rik,0,0,0,0
2010001A14Rik,29,40,62,52
2010001K21Rik,0,0,0,0
2010001M07Rik,0,0,0,0
2010003K11Rik,0,0,0,3
2010005H15Rik,88,33,17,14
2010007H06Rik,0,11,21,19
2010008C14Rik,40,22,6,5
2010009K17Rik,0,0,0,1
2010010A06Rik,0,0,0,0
2010013B24Rik,5,0,1,1
2010015M23Rik,6,11,25,18
2010016I18Rik,0,5,6,4
2010103J01Rik,0,0,1,2
2010106C02Rik,0,0,0,0
2010106E10Rik,0,0,0,0
2010109A12Rik,0,3,0,5
2010109I03Rik,20,9,46,59
2010109P13Rik,0,0,0,0
2010110E17Rik,0,0,3,5
2010110G14Rik,0,0,0,1
2010110K18Rik,16,5,10,7
2010111I01Rik,768,558,640,616
2010203P06Rik,0,0,0,0
2010204K13Rik,63,71,36,34
2010300C02Rik,14,0,10,4
2010300F17Rik,0,0,0,2
2010308F09Rik,0,10,0,0
2010309G21Rik,0,0,0,0
2010310C07Rik,2,12,0,1
2010315B03Rik,151,175,164,154
2010320M18Rik,125,82,108,83
2010320O07Rik,1,0,0,0
2200002A13Rik,0,0,0,0
2200002D01Rik,29,16,33,21
2200002J24Rik,0,0,0,0
2200007N16Rik,0,0,0,0
2210008F06Rik,7,14,19,17
2210010C04Rik,0,0,0,0
2210011C24Rik,35,10,13,3
2210011K15Rik,0,0,4,4
2210016F16Rik,768,499,117,58
2210016L21Rik,605,575,634,527
2210017I01Rik,0,0,0,0
2210039B01Rik,5,6,8,4
2210404E10Rik,0,0,1,0
2210406H18Rik,69,40,14,7
2210406O10Rik,12,37,5,12
2210407C18Rik,0,0,0,0
2210408F21Rik,29,12,5,27
2210408I21Rik,51,20,52,65
2210409E12Rik,0,0,0,0
2210411M09Rik,0,0,2,2
2210412B16Rik,2,3,15,17
2210414B05Rik,1,0,0,0
2210414F02Rik,0,0,0,0
2210417A02Rik,10,0,0,4
2210418O10Rik,239,279,405,315
2210420H20Rik,0,0,0,1
2300002M23Rik,0,0,0,0
2300003K06Rik,0,0,0,0
2300009A05Rik,130,92,107,84
2310001H17Rik,169,9,10,27
2310001K20Rik,0,0,0,0
2310001K24Rik,0,0,8,7
2310002D06Rik,0,0,0,0
2310002F09Rik,0,0,0,0
2310002L09Rik,0,0,0,0
2310003L06Rik,0,0,0,0
2310003N18Rik,0,0,0,0
2310005A03Rik,0,0,0,0
2310005E17Rik,0,0,0,2
2310007B03Rik,0,1,1,2
2310008N11Rik,0,0,0,0
2310009A05Rik,157,129,87,70
2310009B15Rik,191,185,223,187
2310010J17Rik,15,6,17,11
2310011J03Rik,708,549,479,351
2310014F06Rik,2,14,16,10
2310015A10Rik,47,7,87,95
2310015D24Rik,0,0,0,0
2310015K22Rik,0,0,0,0
2310016D03Rik,0,0,0,0
2310016D23Rik,0,0,0,0
2310016G11Rik,0,0,0,4
2310020H05Rik,0,0,0,0
2310022A10Rik,1287,1001,646,470
2310022B05Rik,1246,1237,2422,2345
2310026I22Rik,0,0,0,0
2310026L22Rik,8,0,2,4
2310030A07Rik,0,0,0,0
2310030G06Rik,24,49,101,74
2310031A07Rik,9,0,5,3
2310033P09Rik,304,384,163,106
2310034C09Rik,0,0,0,0
2310034G01Rik,4,9,10,9
2310034O05Rik,0,0,2,6
2310039H08Rik,270,228,226,228
2310039L15Rik,0,8,9,20
2310040G07Rik,0,0,1,4
2310040G24Rik,22,12,4,5
2310043L19Rik,0,0,0,0
2310043M15Rik,3,3,10,12
2310043O21Rik,0,0,0,0
2310043P16Rik,13,29,26,33
2310044K18Rik,0,0,4,5
2310046K23Rik,0,0,1,0
2310047D07Rik,3,1,12,12
2310050C09Rik,0,0,0,0
2310057J18Rik,0,0,0,0
2310057M21Rik,334,344,422,462
2310057N15Rik,0,0,0,0
2310058D17Rik,38,31,45,42
2310061I04Rik,302,401,535,480
2310061N02Rik,0,0,0,0
2310065F04Rik,0,0,0,0
2310067P03Rik,3,4,0,2
2310068J16Rik,11,6,18,17
2310069B03Rik,2,0,5,3
2310074N15Rik,0,3,6,3
2310075C17Rik,0,0,0,0
2310079G19Rik,0,0,0,0
2310081O03Rik,0,0,0,0
2400006E01Rik,0,0,0,0
2410002F23Rik,825,1002,2303,2327
2410003L11Rik,3,0,2,0
2410004B18Rik,363,380,371,317
2410004I01Rik,0,0,0,0
2410004P03Rik,3,2,4,4
2410006H16Rik,1084,888,957,935
2410012E07Rik,12,9,18,26
2410015M20Rik,1302,1131,1173,750
2410017I17Rik,0,0,2,3
2410018L13Rik,0,0,7,10
2410021H03Rik,0,0,3,6
2410022M11Rik,57,23,60,65
2410024N13Rik,0,0,0,0
2410080I02Rik,0,0,0,0
2410124H12Rik,0,0,1,0
2410131K14Rik,324,369,521,449
2410137M14Rik,0,0,0,4
2410141K09Rik,0,0,0,0
2410152P15Rik,0,0,0,0
2500002B13Rik,106,15,51,58
2500004C02Rik,51,60,162,198
2510002D24Rik,113,97,133,184
2510009E07Rik,564,226,247,142
2510016D11Rik,34,26,21,29
2510017J16Rik,4,7,10,10
2510039O18Rik,2103,1938,2063,1801
2510046G10Rik,25,4,13,22
2600006K01Rik,5,8,40,41
2600014E21Rik,0,7,7,16
2610001A08Rik,4,6,0,2
2610001J05Rik,1229,564,434,332
2610002M06Rik,523,381,576,581
