id	IRRP1	IRRP2	IRRP3	RP1	RP2	RP3	V1	V2	V3	symbol
ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	Gm22463
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	Gm37429
ENSMUSG00000033774	0	0	0	0	0	0	0	0	0	Npbwr1
ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	Gm19214
ENSMUSG00000025907	634	1153	1150	1831	1751	1886	1122	1843	1244	Rb1cc1
ENSMUSG00000090031	32	66	61	76	144	96	32	54	28	4732440D04Rik
ENSMUSG00000087247	0	0	0	0	0	0	0	0	0	Alkal1
ENSMUSG00000103355	0	1	1	0	2	0	0	1	2	Gm2147
ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	Gm7417
ENSMUSG00000103845	0	3	2	2	2	6	0	2	2	Gm19026
ENSMUSG00000033740	0	4	7	7	12	8	4	0	3	St18
ENSMUSG00000103329	0	0	0	0	0	0	0	0	0	Gm42492
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	Gm7449
ENSMUSG00000102135	21	2	8	4	7	5	7	1	3	Gm37108
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	Gm37275
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	Gm37225
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	Gm37489
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	Gm5694
ENSMUSG00000051285	226	421	568	492	848	624	431	714	525	Pcmtd1
ENSMUSG00000098201	1	1	0	0	1	0	0	0	1	Gm26983
ENSMUSG00000103509	19	21	30	68	90	66	6	66	34	Gm38372
ENSMUSG00000048538	2	13	28	16	10	10	14	18	16	Gm9826
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	Nras-ps2
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	Gm23274
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	Gm19002
ENSMUSG00000097797	21	20	26	25	32	13	22	57	37	Gm26901
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	Gm18984
ENSMUSG00000103067	0	0	0	0	0	0	0	0	0	Gm30414
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	Gm37791
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	Gm7470
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	Rps2-ps2
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	Gm38216
ENSMUSG00000025909	0	0	0	0	3	0	0	0	0	Sntg1
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	Gm38024
ENSMUSG00000086235	0	0	0	0	1	0	0	0	0	Gm16284
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0	Gm38259
ENSMUSG00000093970	0	0	0	0	0	0	0	0	0	Gm23358
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	Gm37005
ENSMUSG00000084353	1	7	7	8	3	8	4	2	4	Gm15452
ENSMUSG00000103933	28	13	21	13	7	7	8	5	6	Gm36964
ENSMUSG00000076135	24	5	13	3	7	10	5	0	5	Gm24276
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	Gm6152
ENSMUSG00000104504	0	0	1	0	0	0	0	0	0	Gm7445
ENSMUSG00000066693	0	1	0	0	0	0	0	1	0	Gm7493
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0	Gm37629
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	Gm38008
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	Gm37143
ENSMUSG00000101571	1	3	7	5	0	0	1	0	4	Gm6187
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	Gm18299
ENSMUSG00000102272	0	0	0	0	0	0	0	0	0	Gm7512
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	Gm24765
ENSMUSG00000103411	0	0	1	0	5	0	0	3	0	Gm18300
ENSMUSG00000061024	2116	2265	2382	2289	2559	2392	1987	2593	2143	Rrs1
ENSMUSG00000025911	52	99	115	42	153	82	92	233	139	Adhfe1
ENSMUSG00000079671	17	26	32	14	44	23	9	14	19	2610203C22Rik
ENSMUSG00000081441	4	0	3	3	9	3	3	2	5	Gm6161
ENSMUSG00000067879	0	0	1	0	1	1	8	0	2	Vxn
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	Gm29520
ENSMUSG00000025912	115	263	219	271	286	262	172	323	234	Mybl1
ENSMUSG00000045210	661	1143	1285	1285	2206	1523	820	1704	1098	Vcpip1
ENSMUSG00000097893	2	7	1	3	11	4	5	10	4	1700034P13Rik
ENSMUSG00000025915	26	13	129	46	79	72	23	15	13	Sgk3
ENSMUSG00000046334	0	0	0	0	5	1	0	0	2	Gm6195
ENSMUSG00000088916	0	0	0	0	0	0	0	0	0	Gm22607
ENSMUSG00000046101	2	6	3	5	11	20	2	5	3	Mcmdc2
ENSMUSG00000098234	2112	936	1107	1061	1257	1246	990	1368	1021	Snhg6
ENSMUSG00000093178	21	11	4	15	22	9	1	0	3	Snord87
ENSMUSG00000099032	0	0	2	2	0	2	0	0	0	Tcf24
ENSMUSG00000104025	0	0	0	0	0	0	0	0	0	E330040D14Rik
ENSMUSG00000025916	19	6	1	2	6	0	1	1	5	Ppp1r42
ENSMUSG00000087199	0	0	1	0	0	1	0	0	0	Gm15818
ENSMUSG00000095780	0	0	0	0	0	0	0	2	0	Gm24674
ENSMUSG00000025917	2305	1706	1840	1893	2008	1917	1734	2135	1810	Cops5
ENSMUSG00000056763	333	672	648	848	1262	973	496	1240	837	Cspp1
ENSMUSG00000102356	0	0	0	0	0	0	0	0	0	1700047N06Rik
ENSMUSG00000067851	1226	2642	2700	2906	3601	3134	2184	4312	3064	Arfgef1
ENSMUSG00000088153	0	2	5	3	8	8	0	3	2	Gm26348
ENSMUSG00000102556	0	0	0	0	0	1	0	0	0	Gm37569
ENSMUSG00000042501	0	0	0	0	0	0	0	0	0	Cpa6
ENSMUSG00000103810	0	0	0	0	0	0	0	0	0	Gm38005
ENSMUSG00000083422	0	0	0	0	0	0	0	0	0	Gm15604
ENSMUSG00000094979	0	0	0	0	0	0	0	0	0	Gm25253
ENSMUSG00000081417	0	0	0	0	0	0	0	0	0	Gm15603
ENSMUSG00000103448	0	0	0	0	0	0	0	0	0	Gm37133
ENSMUSG00000100212	0	0	0	0	0	0	0	0	0	Gm5522
ENSMUSG00000100648	0	0	0	0	0	0	1	0	0	Gm28659
ENSMUSG00000088585	0	0	0	0	0	0	0	0	0	Gm22963
ENSMUSG00000048960	5	24	59	36	147	99	26	62	37	Prex2
ENSMUSG00000077318	0	0	0	0	0	0	0	0	0	Gm24173
ENSMUSG00000101827	0	0	0	0	0	0	0	0	0	Gm28686
ENSMUSG00000103494	0	0	0	0	0	0	0	0	0	Gm37410
ENSMUSG00000057715	0	0	0	0	0	0	0	0	0	A830018L16Rik
ENSMUSG00000103825	0	0	0	0	0	0	0	0	0	Gm38178
ENSMUSG00000099845	0	0	0	0	0	0	0	0	0	Gm29273
ENSMUSG00000103561	0	0	0	0	0	0	0	0	0	Gm38069
ENSMUSG00000101610	0	4	5	0	0	5	2	0	3	Gm7560
ENSMUSG00000093864	0	0	0	0	0	0	0	0	0	Gm22633
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	Mir6341
ENSMUSG00000097628	0	0	0	0	0	0	0	0	0	Gm2383
ENSMUSG00000098163	0	0	0	0	0	0	0	0	0	Gm6216
ENSMUSG00000097171	0	0	0	0	0	0	0	0	0	Gm17644
ENSMUSG00000101314	0	0	0	0	0	0	0	0	0	Gm29663
ENSMUSG00000016918	10	43	49	62	96	87	166	181	180	Sulf1
ENSMUSG00000025938	9	3	5	47	28	58	6	19	9	Slco5a1
ENSMUSG00000104518	0	0	0	0	0	0	0	0	0	Gm37162
ENSMUSG00000069620	0	0	0	0	0	0	0	0	0	Gm5250
ENSMUSG00000099498	0	0	0	0	0	0	0	0	0	Gm29283
ENSMUSG00000042414	0	0	0	0	0	0	0	0	0	Prdm14
ENSMUSG00000005886	513	1595	1863	1876	2855	2194	1171	2747	1822	Ncoa2
ENSMUSG00000103506	7	2	0	2	2	2	0	1	0	Gm38376
ENSMUSG00000103495	0	0	0	1	1	1	0	0	3	Gm37409
ENSMUSG00000099183	0	1	0	0	0	0	1	0	0	Gm27881
ENSMUSG00000102639	0	0	0	0	0	0	0	0	0	Gm38223
ENSMUSG00000104170	0	0	0	0	0	0	0	0	0	Gm37702
ENSMUSG00000087782	0	0	1	0	0	0	0	1	0	Gm23169
ENSMUSG00000103085	1	7	5	1	10	4	5	1	1	Gm38120
ENSMUSG00000102664	0	3	5	3	7	5	0	0	3	Gm38380
ENSMUSG00000101476	0	0	1	0	5	0	2	0	0	Gm29570
ENSMUSG00000101171	0	0	0	0	0	0	0	0	0	Gm7593
ENSMUSG00000025935	2698	3330	3432	2804	3392	2918	3900	7507	5685	Tram1
ENSMUSG00000025937	399	618	677	610	859	688	674	1465	1084	Lactb2
ENSMUSG00000102982	0	5	5	14	9	15	2	16	10	Gm38319
ENSMUSG00000067813	0	1	2	6	0	0	5	16	9	Xkr9
ENSMUSG00000077368	0	0	0	0	0	0	0	0	0	Gm26273
ENSMUSG00000097711	0	2	2	1	0	5	0	0	2	Gm5523
ENSMUSG00000102166	0	0	0	0	0	0	0	0	0	Gm36947
ENSMUSG00000089358	0	0	0	0	0	0	0	0	0	Gm25491
ENSMUSG00000104209	0	0	0	0	0	0	0	0	0	Gm37400
ENSMUSG00000025932	284	541	601	530	1199	703	395	890	608	Eya1
ENSMUSG00000095853	0	0	0	2	2	3	0	1	0	Gm22616
ENSMUSG00000102588	0	0	0	0	1	0	0	0	0	Gm37444
ENSMUSG00000054493	0	0	0	0	0	0	0	0	0	Gm9947
ENSMUSG00000025930	0	0	0	2	1	1	0	0	0	Msc
ENSMUSG00000103492	0	0	0	0	0	0	0	0	0	Gm37412
ENSMUSG00000081201	1	9	16	22	14	10	9	5	16	Smt3h2-ps4
ENSMUSG00000082193	46	21	38	22	14	18	3	19	17	Rpl5-ps1
ENSMUSG00000032769	0	0	0	0	0	0	0	0	0	Trpa1
ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	Gm26345
ENSMUSG00000073737	0	5	5	1	1	1	0	0	0	Gm10566
ENSMUSG00000092083	0	2	0	0	0	0	0	0	0	Kcnb2
ENSMUSG00000102937	0	0	0	0	0	0	0	0	0	Gm38116
ENSMUSG00000104149	0	0	0	0	0	0	0	0	0	Gm37138
ENSMUSG00000088829	0	0	0	0	0	0	0	0	0	Gm25227
ENSMUSG00000077377	0	0	0	0	0	0	0	0	0	Gm25168
ENSMUSG00000101652	0	0	0	0	0	0	0	0	0	Gm6060
ENSMUSG00000100814	0	0	0	0	0	0	0	0	0	Gm28669
ENSMUSG00000025925	552	527	618	746	776	772	678	1039	760	Terf1
ENSMUSG00000104379	0	2	0	2	2	6	0	1	0	Gm37509
ENSMUSG00000032719	0	0	2	0	0	2	1	5	1	Sbspon
ENSMUSG00000088943	0	0	0	0	0	0	0	0	0	Gm23259
ENSMUSG00000100652	0	0	0	0	0	0	0	0	2	Gm7634
ENSMUSG00000067795	0	2	1	1	10	1	0	0	3	4930444P10Rik
ENSMUSG00000043716	55382	29719	30313	33499	34952	33242	36176	40568	34565	Rpl7
ENSMUSG00000025921	174	154	211	164	567	250	227	330	259	Rdh10
ENSMUSG00000104165	0	0	0	0	0	0	0	0	0	Gm38249
ENSMUSG00000100868	0	0	0	0	0	0	0	0	0	Gm28095
ENSMUSG00000025920	2	3	10	21	15	12	10	7	4	Stau2
ENSMUSG00000089982	0	0	0	0	0	0	0	3	0	Gm7568
ENSMUSG00000025939	643	542	582	537	617	598	527	751	554	Ube2w
ENSMUSG00000102457	0	2	1	3	7	2	0	1	2	Gm38342
ENSMUSG00000079658	3005	1228	1354	1230	1401	1269	1294	1292	1275	Eloc
ENSMUSG00000097744	0	0	1	1	0	2	1	2	0	D030040B21Rik
ENSMUSG00000100959	0	0	0	0	5	0	0	0	0	Gm7654
ENSMUSG00000025940	1145	991	1088	940	1185	1000	1056	1381	1095	Tmem70
ENSMUSG00000025779	58	42	47	18	22	42	24	46	31	Ly96
ENSMUSG00000100093	0	0	0	0	0	0	0	0	0	Gm29649
ENSMUSG00000091020	0	7	2	1	1	3	1	3	4	Gm5828
ENSMUSG00000101640	0	0	0	0	0	0	0	0	0	Gm28376
ENSMUSG00000104133	0	0	0	0	0	0	0	0	0	4921511E07Rik
ENSMUSG00000042686	0	0	0	0	2	0	0	0	0	Jph1
ENSMUSG00000100110	0	0	0	0	0	0	0	0	0	Gm28783
ENSMUSG00000025777	0	2	2	0	0	1	1	0	0	Gdap1
ENSMUSG00000099899	0	0	0	0	0	0	0	0	0	Gm28784
ENSMUSG00000100272	0	0	0	0	0	0	0	0	0	Gm28785
ENSMUSG00000100398	0	3	0	0	1	0	0	0	0	Gm5251
ENSMUSG00000101589	4	4	4	4	1	1	2	1	2	Rbm6-ps1
ENSMUSG00000102048	0	0	0	0	0	0	0	0	0	Gm6075
ENSMUSG00000089534	0	0	0	0	0	0	0	0	0	Gm25166
ENSMUSG00000067780	0	5	6	0	8	0	0	0	0	Pi15
ENSMUSG00000100053	0	0	0	0	0	0	0	0	0	Gm28154
ENSMUSG00000085125	0	0	0	0	0	0	0	0	0	Gm16070
ENSMUSG00000025776	0	0	0	3	15	0	0	0	0	Crispld1
ENSMUSG00000099895	0	0	0	0	0	0	0	0	0	Gm28153
ENSMUSG00000100554	0	0	0	1	0	0	0	0	0	Gm7690
ENSMUSG00000099473	0	0	0	0	0	0	0	0	0	Gm18775
ENSMUSG00000099591	1	1	1	0	0	0	0	0	1	Gm17969
ENSMUSG00000109887	0	0	0	0	0	0	0	0	0	Gm28756
ENSMUSG00000102001	0	0	0	0	0	0	0	0	0	Gm28755
ENSMUSG00000101717	0	0	0	0	0	0	0	0	0	Gm45784
ENSMUSG00000025774	0	0	0	0	0	0	0	0	0	Crisp4
ENSMUSG00000070977	0	0	0	0	0	0	0	0	0	Defb44-ps
ENSMUSG00000073735	0	0	0	0	0	0	0	0	0	Defb18
ENSMUSG00000067773	0	0	0	0	0	0	0	0	0	Defb41
ENSMUSG00000101685	0	0	0	0	0	0	0	0	2	Gm17837
ENSMUSG00000101306	0	0	0	0	0	0	0	0	0	Gm5252
ENSMUSG00000088800	0	0	0	0	0	0	0	0	0	Gm24075
ENSMUSG00000101644	0	0	0	0	0	0	0	0	0	Gm28343
ENSMUSG00000099433	0	0	0	0	0	0	0	0	0	Gm28344
ENSMUSG00000089787	0	0	0	0	0	0	0	0	0	Gm15825
ENSMUSG00000042596	0	0	0	0	0	0	0	0	0	Tfap2d
ENSMUSG00000100720	4	1	2	1	0	7	2	4	4	Gm10075
ENSMUSG00000025927	37	58	38	1	163	51	2	19	18	Tfap2b
ENSMUSG00000100538	0	0	0	0	0	0	0	0	0	Gm28340
ENSMUSG00000101117	0	0	0	0	0	0	0	0	0	Gm28341
ENSMUSG00000100204	0	4	3	2	0	4	3	3	0	Gm4849
ENSMUSG00000084668	0	0	0	0	0	0	0	0	0	Gm24633
ENSMUSG00000102597	0	0	0	0	0	0	0	0	0	Gm38382
ENSMUSG00000043760	0	0	0	0	0	0	0	0	0	Pkhd1
ENSMUSG00000104095	0	0	0	0	0	0	0	0	0	Gm37315
ENSMUSG00000089914	0	0	0	0	0	0	0	0	0	4930486I03Rik
ENSMUSG00000090142	44	9	11	2	23	0	1	11	9	Gm15795
ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	Gm24162
ENSMUSG00000099906	0	0	0	0	0	0	0	0	0	Gm28653
ENSMUSG00000065559	0	0	0	0	0	0	0	0	0	Mir206
ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	Mir133b
ENSMUSG00000025929	0	0	0	0	0	0	0	0	0	Il17a
ENSMUSG00000041872	3	2	2	1	2	2	2	8	6	Il17f
ENSMUSG00000041859	4239	6274	6426	7815	7303	8369	6750	8176	6654	Mcm3
ENSMUSG00000099714	0	0	0	0	0	0	0	2	0	Gm20587
ENSMUSG00000102121	0	0	0	0	0	0	0	0	0	Gm28065
ENSMUSG00000088858	0	0	0	0	0	0	0	0	0	Gm24723
ENSMUSG00000097934	13	19	16	15	7	17	14	18	18	6720483E21Rik
ENSMUSG00000025931	81	195	194	216	297	202	157	234	167	Paqr8
ENSMUSG00000077314	0	0	0	0	0	0	0	0	0	Gm24171
ENSMUSG00000100929	0	0	0	0	0	0	0	0	0	Gm28064
ENSMUSG00000041809	27	39	54	22	83	67	55	95	69	Efhc1
ENSMUSG00000041779	114	446	465	640	655	659	414	663	559	Tram2
ENSMUSG00000099971	0	0	0	0	0	0	0	0	0	Gm28287
ENSMUSG00000100819	12	1	7	4	8	5	9	6	0	Gm2693
ENSMUSG00000025933	61	100	115	58	114	77	108	102	109	Tmem14a
ENSMUSG00000102633	0	0	0	0	2	0	0	0	0	Gm38224
ENSMUSG00000025934	15	10	3	3	25	10	5	5	5	Gsta3
ENSMUSG00000099343	0	1	0	0	0	0	0	0	0	Gm28836
ENSMUSG00000096375	0	0	2	0	0	0	0	0	1	Gm7094
ENSMUSG00000025936	1	1	1	0	1	1	0	0	0	Gm4956
ENSMUSG00000093963	0	0	0	0	0	0	0	0	0	Gm21909
ENSMUSG00000067750	5	5	6	5	15	15	3	1	2	Khdc1a
ENSMUSG00000086194	0	0	0	0	0	1	0	0	0	Gm16329
ENSMUSG00000094436	0	0	0	0	0	0	0	0	0	Gm16327
ENSMUSG00000041722	0	0	1	1	7	0	0	2	0	Khdc1c
ENSMUSG00000085507	0	0	0	0	0	0	0	0	0	Gm2709
ENSMUSG00000094926	0	0	0	0	0	0	0	0	0	Gm16533
ENSMUSG00000085079	0	1	0	0	7	1	0	0	0	Khdc1b
ENSMUSG00000085679	0	0	0	0	0	0	0	0	0	Gm16328
ENSMUSG00000028033	0	2	1	0	1	0	0	0	0	Kcnq5
ENSMUSG00000104138	0	0	0	0	0	0	0	0	0	Gm36949
ENSMUSG00000082935	31	8	16	21	11	19	15	14	15	Gm7658
ENSMUSG00000103748	0	0	0	0	0	0	0	0	0	Gm38243
ENSMUSG00000097109	0	0	0	0	0	0	0	0	0	Gm26580
ENSMUSG00000099692	0	0	0	0	0	0	0	0	0	Gm5696
ENSMUSG00000100418	0	0	0	0	0	0	0	0	0	Gm28239
ENSMUSG00000041670	10	0	0	0	0	0	0	0	0	Rims1
ENSMUSG00000097642	0	0	0	0	0	0	0	0	0	Gm26866
ENSMUSG00000101468	0	0	0	0	0	0	0	0	0	Gm7761
ENSMUSG00000101227	0	0	0	0	0	0	0	0	0	Gm29506
ENSMUSG00000073730	0	0	0	0	0	0	0	0	0	4933415F23Rik
ENSMUSG00000089553	0	0	0	0	0	0	0	0	0	Gm24176
ENSMUSG00000102766	0	0	0	0	0	0	0	0	0	Gm6420
ENSMUSG00000065405	0	0	0	0	0	0	0	0	0	Mir30a
ENSMUSG00000097970	0	1	1	1	1	7	4	5	3	Gm27028
ENSMUSG00000065567	0	0	0	0	0	0	0	0	0	Mir30c-2
ENSMUSG00000100775	0	0	2	2	1	0	2	3	3	Gm29107
ENSMUSG00000101226	0	0	0	0	0	0	0	0	0	Gm20954
ENSMUSG00000026158	452	400	517	198	377	258	494	389	334	Ogfrl1
ENSMUSG00000097920	0	0	0	0	0	0	0	0	0	Gm7784
ENSMUSG00000099503	0	0	0	0	0	0	0	0	0	Gm28822
ENSMUSG00000026156	0	15	17	25	44	22	9	42	27	B3gat2
ENSMUSG00000026155	59	615	594	495	669	567	567	919	649	Smap1
ENSMUSG00000026154	632	197	248	206	298	220	332	310	254	Sdhaf4
ENSMUSG00000102495	0	2	0	1	0	0	0	0	1	Gm26524
ENSMUSG00000026153	313	716	735	637	1021	730	497	1027	691	Fam135a
ENSMUSG00000102398	2	0	0	1	1	0	1	0	0	Gm37580
ENSMUSG00000097670	0	0	0	0	0	0	0	0	0	Gm26607
ENSMUSG00000026147	0	0	0	0	1	0	1	0	0	Col9a1
ENSMUSG00000026141	0	0	0	0	0	0	0	0	0	Col19a1
ENSMUSG00000077463	0	0	0	0	0	0	0	0	0	Gm26418
ENSMUSG00000099997	13	16	12	11	2	4	4	5	6	Tubb4b-ps2
ENSMUSG00000100131	47	125	196	161	258	125	93	123	131	Gm28439
ENSMUSG00000067736	23	60	34	85	104	58	30	39	37	Gm10222
ENSMUSG00000101939	325	88	104	157	125	110	54	56	68	Gm28438
ENSMUSG00000101111	390	183	304	320	385	225	180	145	184	Gm28437
ENSMUSG00000100862	357	364	605	424	533	330	261	336	321	Gm10925
ENSMUSG00000102070	781	377	525	558	631	422	285	324	377	Gm28661
ENSMUSG00000101249	354	153	250	165	257	128	121	103	134	Gm29216
ENSMUSG00000073725	379	496	658	608	687	644	586	898	637	Lmbrd1
ENSMUSG00000100808	0	0	0	0	0	0	0	0	0	Gm28594
ENSMUSG00000100483	0	0	0	0	0	0	0	0	0	Gm28237
ENSMUSG00000100450	0	0	0	0	0	0	0	0	0	Gm9443
ENSMUSG00000099392	0	0	0	0	0	0	0	0	0	Gm29414
ENSMUSG00000033569	0	0	0	0	0	0	0	0	0	Adgrb3
ENSMUSG00000080849	0	0	0	0	0	0	0	0	0	Gm15702
ENSMUSG00000104257	0	0	0	0	0	0	0	0	0	Gm20172
ENSMUSG00000096866	0	0	0	0	0	0	0	0	0	Gm22260
ENSMUSG00000102296	0	0	0	0	0	0	0	0	0	Gm37543
ENSMUSG00000103209	0	0	0	0	0	0	0	0	0	Gm37331
ENSMUSG00000104027	0	0	0	0	0	0	0	0	0	Gm37211
ENSMUSG00000102407	0	0	0	0	0	0	0	0	0	Gm37862
ENSMUSG00000103214	0	0	0	0	0	0	0	0	0	Gm38286
ENSMUSG00000104100	0	0	0	0	0	0	0	0	0	Gm37880
ENSMUSG00000084740	0	0	0	0	0	0	0	0	0	Gm25294
ENSMUSG00000103889	0	0	0	0	0	0	0	0	0	Gm37011
ENSMUSG00000101301	0	0	0	0	0	0	0	0	0	Gm29214
ENSMUSG00000104221	0	0	0	0	0	0	0	0	0	Gm37051
ENSMUSG00000102250	0	0	0	0	0	0	0	0	0	Gm38260
ENSMUSG00000102317	0	0	0	0	0	0	0	0	0	Gm37628
ENSMUSG00000103563	0	0	0	0	0	0	0	0	0	8030445P17Rik
ENSMUSG00000102465	0	0	0	0	0	0	0	0	0	Gm38198
ENSMUSG00000102659	0	0	0	0	0	0	0	0	0	Gm37077
ENSMUSG00000103924	0	0	0	0	0	0	0	0	0	Gm37895
ENSMUSG00000104132	0	0	0	0	0	0	0	0	0	Gm36952
ENSMUSG00000102747	0	0	0	0	0	0	0	0	0	Gm37602
ENSMUSG00000102386	0	0	0	0	0	0	0	0	0	2900022M07Rik
ENSMUSG00000103004	0	0	0	0	0	0	0	0	0	2900002M20Rik
ENSMUSG00000104516	0	0	0	0	0	0	0	0	0	Gm9884
ENSMUSG00000101618	0	0	0	0	0	0	0	0	0	Gm18443
ENSMUSG00000099458	0	0	0	0	0	0	0	0	0	Gm19123
ENSMUSG00000088111	0	0	0	0	0	0	0	0	0	Gm24064
ENSMUSG00000073722	0	0	0	1	4	0	0	0	0	4931408C20Rik
ENSMUSG00000095256	0	0	0	0	0	0	0	0	0	n-R5s209
ENSMUSG00000100310	0	0	0	0	0	0	0	0	0	Gm19641
ENSMUSG00000101514	0	0	0	0	0	0	0	0	0	Gm5524
ENSMUSG00000101033	0	0	0	0	0	0	0	0	0	Gm18776
ENSMUSG00000101372	0	0	1	0	0	0	0	0	0	Gm19028
ENSMUSG00000103241	0	0	0	0	0	0	0	0	0	Gm38089
ENSMUSG00000086240	274	65	92	74	44	65	62	61	68	Gm7846
ENSMUSG00000048411	0	0	0	0	0	0	0	0	0	Gm597
ENSMUSG00000081557	0	0	3	0	0	0	0	3	2	Gm5697
ENSMUSG00000058590	0	0	0	0	0	0	0	0	0	Gm6462
ENSMUSG00000101235	0	0	0	0	0	0	0	0	0	Gm18033
ENSMUSG00000064433	0	0	0	0	0	0	0	0	0	Gm25586
ENSMUSG00000080625	0	0	0	0	0	0	0	0	0	Gm22679
